iso3,country,disaggregation,disagg.value,region,subregion,section,adolescent_obesity_2000,adolescent_obesity_2001,adolescent_obesity_2002,adolescent_obesity_2003,adolescent_obesity_2004,adolescent_obesity_2005,adolescent_obesity_2006,adolescent_obesity_2007,adolescent_obesity_2008,adolescent_obesity_2009,adolescent_obesity_2010,adolescent_obesity_2011,adolescent_obesity_2012,adolescent_obesity_2013,adolescent_obesity_2014,adolescent_obesity_2015,adolescent_obesity_2016,adolescent_obesity_2019,adolescent_overweight_2000,adolescent_overweight_2001,adolescent_overweight_2002,adolescent_overweight_2003,adolescent_overweight_2004,adolescent_overweight_2005,adolescent_overweight_2006,adolescent_overweight_2007,adolescent_overweight_2008,adolescent_overweight_2009,adolescent_overweight_2010,adolescent_overweight_2011,adolescent_overweight_2012,adolescent_overweight_2013,adolescent_overweight_2014,adolescent_overweight_2015,adolescent_overweight_2016,adolescent_overweight_2019,adolescent_thinness_2000,adolescent_thinness_2001,adolescent_thinness_2002,adolescent_thinness_2003,adolescent_thinness_2004,adolescent_thinness_2005,adolescent_thinness_2006,adolescent_thinness_2007,adolescent_thinness_2008,adolescent_thinness_2009,adolescent_thinness_2010,adolescent_thinness_2011,adolescent_thinness_2012,adolescent_thinness_2013,adolescent_thinness_2014,adolescent_thinness_2015,adolescent_thinness_2016,adolescent_thinness_2019
AFG,Afghanistan,sex,Boys,Asia,Southern Asia,Child and adolescent (aged 5-19) nutrition status,0.67,0.74,0.82,0.9,0.99,1.09,1.2,1.31,1.44,1.58,1.73,1.89,2.07,2.26,2.47,2.69,2.94,,2.77,3,3.24,3.51,3.79,4.08,4.4,4.74,5.1,5.48,5.88,6.31,6.77,7.26,7.78,8.32,8.9,,27.3,27.06,26.82,26.58,26.33,26.08,25.83,25.57,25.31,25.05,24.78,24.5,24.22,23.93,23.64,23.35,23.05,
AFG,Afghanistan,sex,Boys Projection,Asia,Southern Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,3.78,,,,,,,,,,,,,,,,,8.9,10.86,,,,,,,,,,,,,,,,,23.05,22.13
AFG,Afghanistan,sex,Girls,Asia,Southern Asia,Child and adolescent (aged 5-19) nutrition status,0.53,0.59,0.67,0.75,0.85,0.95,1.07,1.19,1.33,1.49,1.66,1.84,2.05,2.27,2.52,2.78,3.07,,3.24,3.48,3.74,4.02,4.32,4.64,4.97,5.34,5.72,6.13,6.57,7.03,7.52,8.04,8.6,9.18,9.8,,13.09,12.97,12.84,12.7,12.57,12.43,12.29,12.15,12.02,11.88,11.74,11.61,11.47,11.33,11.19,11.05,10.92,
AFG,Afghanistan,sex,Girls Projection,Asia,Southern Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,4.12,,,,,,,,,,,,,,,,,9.8,11.93,,,,,,,,,,,,,,,,,10.92,10.5
AGO,Angola,sex,Boys,Africa,Middle Africa,Child and adolescent (aged 5-19) nutrition status,0.25,0.29,0.33,0.37,0.42,0.48,0.54,0.61,0.69,0.77,0.87,0.98,1.1,1.23,1.37,1.53,1.71,,1.84,2.02,2.21,2.41,2.63,2.87,3.13,3.4,3.7,4.01,4.35,4.71,5.1,5.5,5.94,6.4,6.89,,15.15,14.92,14.68,14.44,14.19,13.94,13.68,13.42,13.15,12.89,12.63,12.38,12.12,11.88,11.64,11.42,11.2,
AGO,Angola,sex,Boys Projection,Africa,Middle Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,2.39,,,,,,,,,,,,,,,,,6.89,8.69,,,,,,,,,,,,,,,,,11.2,10.57
AGO,Angola,sex,Girls,Africa,Middle Africa,Child and adolescent (aged 5-19) nutrition status,0.67,0.75,0.83,0.93,1.03,1.13,1.25,1.37,1.51,1.65,1.8,1.96,2.13,2.32,2.51,2.72,2.94,,6.61,7.01,7.42,7.85,8.3,8.77,9.24,9.74,10.24,10.76,11.29,11.83,12.39,12.96,13.55,14.15,14.76,,6.77,6.67,6.56,6.45,6.34,6.22,6.11,5.99,5.89,5.78,5.68,5.58,5.49,5.4,5.32,5.25,5.18,
AGO,Angola,sex,Girls Projection,Africa,Middle Africa,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,3.76,,,,,,,,,,,,,,,,,14.76,16.91,,,,,,,,,,,,,,,,,5.18,4.99
ALB,Albania,sex,Boys,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,2.58,2.83,3.11,3.41,3.75,4.11,4.5,4.93,5.38,5.86,6.37,6.9,7.47,8.06,8.67,9.32,9.98,,13.41,14.17,14.98,15.83,16.73,17.66,18.64,19.66,20.71,21.79,22.9,24.02,25.16,26.31,27.48,28.65,29.82,,2.18,2.11,2.04,1.96,1.89,1.81,1.73,1.66,1.58,1.51,1.44,1.38,1.32,1.26,1.21,1.16,1.12,
ALB,Albania,sex,Boys Projection,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,12.24,,,,,,,,,,,,,,,,,29.82,33.8,,,,,,,,,,,,,,,,,1.12,1.01
ALB,Albania,sex,Girls,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,1.52,1.68,1.84,2.03,2.23,2.44,2.67,2.92,3.18,3.46,3.75,4.06,4.38,4.71,5.06,5.42,5.8,,9.87,10.39,10.93,11.51,12.11,12.75,13.41,14.09,14.79,15.51,16.25,17,17.76,18.53,19.31,20.09,20.87,,2.26,2.19,2.13,2.06,2,1.93,1.87,1.81,1.75,1.7,1.64,1.59,1.55,1.5,1.47,1.43,1.41,
ALB,Albania,sex,Girls Projection,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,7.22,,,,,,,,,,,,,,,,,20.87,23.73,,,,,,,,,,,,,,,,,1.41,1.31
AND,Andorra,sex,Boys,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,13.88,14,14.1,14.19,14.27,14.33,14.39,14.43,14.47,14.5,14.52,14.55,14.57,14.61,14.65,14.69,14.75,,37.99,38.13,38.24,38.34,38.41,38.46,38.49,38.5,38.5,38.49,38.48,38.47,38.45,38.45,38.46,38.47,38.51,,0.72,0.73,0.73,0.74,0.74,0.75,0.75,0.76,0.77,0.78,0.79,0.8,0.82,0.83,0.85,0.87,0.9,
AND,Andorra,sex,Boys Projection,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,14.94,,,,,,,,,,,,,,,,,38.51,38.59,,,,,,,,,,,,,,,,,0.9,0.97
AND,Andorra,sex,Girls,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,9.59,9.65,9.71,9.76,9.81,9.85,9.88,9.91,9.93,9.96,9.99,10.02,10.06,10.09,10.14,10.2,10.28,,31.44,31.55,31.64,31.72,31.8,31.86,31.91,31.96,32.01,32.06,32.11,32.16,32.22,32.29,32.37,32.47,32.59,,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.65,0.65,0.66,0.66,0.67,0.68,0.68,0.7,0.71,
AND,Andorra,sex,Girls Projection,Europe,Southern Europe,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,10.46,,,,,,,,,,,,,,,,,32.59,32.84,,,,,,,,,,,,,,,,,0.71,0.76
ARE,United Arab Emirates,sex,Boys,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,10.78,11.24,11.73,12.22,12.73,13.24,13.74,14.24,14.74,15.23,15.72,16.2,16.67,17.14,17.6,18.06,18.53,,25.34,26.1,26.87,27.66,28.46,29.25,30.03,30.79,31.54,32.29,33.03,33.74,34.45,35.14,35.83,36.52,37.2,,6.58,6.5,6.41,6.33,6.25,6.18,6.12,6.06,6.01,5.96,5.91,5.86,5.82,5.79,5.76,5.74,5.72,
ARE,United Arab Emirates,sex,Boys Projection,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,,,,,,,,,,,,,,,,,,20.11,,,,,,,,,,,,,,,,,37.2,39.48,,,,,,,,,,,,,,,,,5.72,5.66
ARE,United Arab Emirates,sex,Girls,Asia,Western Asia,Child and adolescent (aged 5-19) nutrition status,9.2,9.53,9.88,10.23,10.59,10.95,11.3,11.65,12,12.35,12.69,13.03,13.37,13.71,14.05,14.4,14.74,,26.27,26.76,27.25,27.74,28.22,28.7,29.16,29.6,30.03,30.45,30.86,31.26,31.65,32.03,32.41,32.79,33.17,,3.92,3.91,3.9,3.9,3.91,3.92,3.94,3.98,4.02,4.07,4.13,4.2,4.27,4.34,4.43,4.52,4.61,
