iso3,country,disaggregation,disagg.value,region,subregion,section,surface_water_2000,surface_water_2001,surface_water_2002,surface_water_2003,surface_water_2004,surface_water_2005,surface_water_2006,surface_water_2007,surface_water_2008,surface_water_2009,surface_water_2010,surface_water_2011,surface_water_2012,surface_water_2013,surface_water_2014,surface_water_2015,surface_water_2016,surface_water_2017,surface_water_2018,surface_water_2019,surface_water_2020,unimproved_water_2000,unimproved_water_2001,unimproved_water_2002,unimproved_water_2003,unimproved_water_2004,unimproved_water_2005,unimproved_water_2006,unimproved_water_2007,unimproved_water_2008,unimproved_water_2009,unimproved_water_2010,unimproved_water_2011,unimproved_water_2012,unimproved_water_2013,unimproved_water_2014,unimproved_water_2015,unimproved_water_2016,unimproved_water_2017,unimproved_water_2018,unimproved_water_2019,unimproved_water_2020,limited_water_2000,limited_water_2001,limited_water_2002,limited_water_2003,limited_water_2004,limited_water_2005,limited_water_2006,limited_water_2007,limited_water_2008,limited_water_2009,limited_water_2010,limited_water_2011,limited_water_2012,limited_water_2013,limited_water_2014,limited_water_2015,limited_water_2016,limited_water_2017,limited_water_2018,limited_water_2019,limited_water_2020,basic_water_2000,basic_water_2001,basic_water_2002,basic_water_2003,basic_water_2004,basic_water_2005,basic_water_2006,basic_water_2007,basic_water_2008,basic_water_2009,basic_water_2010,basic_water_2011,basic_water_2012,basic_water_2013,basic_water_2014,basic_water_2015,basic_water_2016,basic_water_2017,basic_water_2018,basic_water_2019,basic_water_2020,safely_managed_water_2000,safely_managed_water_2001,safely_managed_water_2002,safely_managed_water_2003,safely_managed_water_2004,safely_managed_water_2005,safely_managed_water_2006,safely_managed_water_2007,safely_managed_water_2008,safely_managed_water_2009,safely_managed_water_2010,safely_managed_water_2011,safely_managed_water_2012,safely_managed_water_2013,safely_managed_water_2014,safely_managed_water_2015,safely_managed_water_2016,safely_managed_water_2017,safely_managed_water_2018,safely_managed_water_2019,safely_managed_water_2020,at_least_basic_water_2000,at_least_basic_water_2001,at_least_basic_water_2002,at_least_basic_water_2003,at_least_basic_water_2004,at_least_basic_water_2005,at_least_basic_water_2006,at_least_basic_water_2007,at_least_basic_water_2008,at_least_basic_water_2009,at_least_basic_water_2010,at_least_basic_water_2011,at_least_basic_water_2012,at_least_basic_water_2013,at_least_basic_water_2014,at_least_basic_water_2015,at_least_basic_water_2016,at_least_basic_water_2017,at_least_basic_water_2018,at_least_basic_water_2019,at_least_basic_water_2020,open_defecation_2000,open_defecation_2001,open_defecation_2002,open_defecation_2003,open_defecation_2004,open_defecation_2005,open_defecation_2006,open_defecation_2007,open_defecation_2008,open_defecation_2009,open_defecation_2010,open_defecation_2011,open_defecation_2012,open_defecation_2013,open_defecation_2014,open_defecation_2015,open_defecation_2016,open_defecation_2017,open_defecation_2018,open_defecation_2019,open_defecation_2020,unimproved_sanitation_2000,unimproved_sanitation_2001,unimproved_sanitation_2002,unimproved_sanitation_2003,unimproved_sanitation_2004,unimproved_sanitation_2005,unimproved_sanitation_2006,unimproved_sanitation_2007,unimproved_sanitation_2008,unimproved_sanitation_2009,unimproved_sanitation_2010,unimproved_sanitation_2011,unimproved_sanitation_2012,unimproved_sanitation_2013,unimproved_sanitation_2014,unimproved_sanitation_2015,unimproved_sanitation_2016,unimproved_sanitation_2017,unimproved_sanitation_2018,unimproved_sanitation_2019,unimproved_sanitation_2020,limited_sanitation_2000,limited_sanitation_2001,limited_sanitation_2002,limited_sanitation_2003,limited_sanitation_2004,limited_sanitation_2005,limited_sanitation_2006,limited_sanitation_2007,limited_sanitation_2008,limited_sanitation_2009,limited_sanitation_2010,limited_sanitation_2011,limited_sanitation_2012,limited_sanitation_2013,limited_sanitation_2014,limited_sanitation_2015,limited_sanitation_2016,limited_sanitation_2017,limited_sanitation_2018,limited_sanitation_2019,limited_sanitation_2020,basic_sanitation_2000,basic_sanitation_2001,basic_sanitation_2002,basic_sanitation_2003,basic_sanitation_2004,basic_sanitation_2005,basic_sanitation_2006,basic_sanitation_2007,basic_sanitation_2008,basic_sanitation_2009,basic_sanitation_2010,basic_sanitation_2011,basic_sanitation_2012,basic_sanitation_2013,basic_sanitation_2014,basic_sanitation_2015,basic_sanitation_2016,basic_sanitation_2017,basic_sanitation_2018,basic_sanitation_2019,basic_sanitation_2020,at_least_basic_sanitation_2000,at_least_basic_sanitation_2001,at_least_basic_sanitation_2002,at_least_basic_sanitation_2003,at_least_basic_sanitation_2004,at_least_basic_sanitation_2005,at_least_basic_sanitation_2006,at_least_basic_sanitation_2007,at_least_basic_sanitation_2008,at_least_basic_sanitation_2009,at_least_basic_sanitation_2010,at_least_basic_sanitation_2011,at_least_basic_sanitation_2012,at_least_basic_sanitation_2013,at_least_basic_sanitation_2014,at_least_basic_sanitation_2015,at_least_basic_sanitation_2016,at_least_basic_sanitation_2017,at_least_basic_sanitation_2018,at_least_basic_sanitation_2019,at_least_basic_sanitation_2020,safely_managed_sanitation_2000,safely_managed_sanitation_2001,safely_managed_sanitation_2002,safely_managed_sanitation_2003,safely_managed_sanitation_2004,safely_managed_sanitation_2005,safely_managed_sanitation_2006,safely_managed_sanitation_2007,safely_managed_sanitation_2008,safely_managed_sanitation_2009,safely_managed_sanitation_2010,safely_managed_sanitation_2011,safely_managed_sanitation_2012,safely_managed_sanitation_2013,safely_managed_sanitation_2014,safely_managed_sanitation_2015,safely_managed_sanitation_2016,safely_managed_sanitation_2017,safely_managed_sanitation_2018,safely_managed_sanitation_2019,safely_managed_sanitation_2020,undernourishment_prev_2001,undernourishment_prev_2002,undernourishment_prev_2003,undernourishment_prev_2004,undernourishment_prev_2005,undernourishment_prev_2006,undernourishment_prev_2007,undernourishment_prev_2008,undernourishment_prev_2009,undernourishment_prev_2010,undernourishment_prev_2011,undernourishment_prev_2012,undernourishment_prev_2013,undernourishment_prev_2014,undernourishment_prev_2015,undernourishment_prev_2016,undernourishment_prev_2017,undernourishment_prev_2018,early_childbearing_prev_2000,early_childbearing_prev_2001,early_childbearing_prev_2002,early_childbearing_prev_2003,early_childbearing_prev_2004,early_childbearing_prev_2005,early_childbearing_prev_2006,early_childbearing_prev_2007,early_childbearing_prev_2008,early_childbearing_prev_2009,early_childbearing_prev_2010,early_childbearing_prev_2011,early_childbearing_prev_2012,early_childbearing_prev_2013,early_childbearing_prev_2014,early_childbearing_prev_2015,early_childbearing_prev_2016,early_childbearing_prev_2017,early_childbearing_prev_2018,early_childbearing_prev_2019,early_childbearing_prev_2020,gender_inequality_2019,gender_inequality_rank_2019,female_secondary_enroll_net_2000,female_secondary_enroll_net_2001,female_secondary_enroll_net_2002,female_secondary_enroll_net_2003,female_secondary_enroll_net_2004,female_secondary_enroll_net_2005,female_secondary_enroll_net_2006,female_secondary_enroll_net_2007,female_secondary_enroll_net_2008,female_secondary_enroll_net_2009,female_secondary_enroll_net_2010,female_secondary_enroll_net_2011,female_secondary_enroll_net_2012,female_secondary_enroll_net_2013,female_secondary_enroll_net_2014,female_secondary_enroll_net_2015,female_secondary_enroll_net_2016,female_secondary_enroll_net_2017,female_secondary_enroll_net_2018,female_secondary_enroll_net_2019
AFG,Afghanistan,all,,Asia,Southern Asia,Underlying determinants,24.99,24.97,24.12,23.28,22.42,21.56,20.69,19.83,18.97,18.11,17.25,16.39,15.54,14.68,13.83,12.98,12.13,11.28,10.43,9.61,8.90,43.18,43.17,41.69,40.21,38.72,37.23,35.73,34.23,32.73,31.23,29.72,28.22,26.71,25.20,23.68,22.17,20.65,19.13,17.60,16.04,14.56,3.66,3.66,3.95,4.24,4.52,4.81,5.10,5.06,4.99,4.88,4.74,4.56,4.35,4.11,3.83,3.51,3.16,2.78,2.36,1.91,1.45,17.24,17.26,18.51,19.76,21.02,22.29,23.57,24.78,25.99,27.52,29.17,30.86,32.58,34.34,36.14,37.96,39.83,41.72,43.66,45.64,47.50,10.93,10.94,11.73,12.51,13.31,14.11,14.91,16.09,17.32,18.26,19.12,19.97,20.82,21.67,22.52,23.38,24.23,25.08,25.94,26.80,27.59,,,,,,,,,,,,,,,,,,,,,,25.80,25.78,24.98,24.19,23.38,22.56,21.74,20.92,20.11,19.29,18.48,17.67,16.86,16.05,15.25,14.44,13.64,12.87,12.17,11.48,10.78,46.68,46.68,45.74,44.81,43.87,42.92,41.97,41.02,40.06,39.09,38.12,37.15,36.17,35.19,34.20,33.20,32.20,31.17,30.05,28.92,27.77,5.65,5.66,6.00,6.34,6.69,7.05,7.41,7.69,7.96,8.23,8.50,8.76,9.01,9.26,9.50,9.73,9.95,10.18,10.39,10.60,10.94,,,,,,,,,,,,,,,,,,,,,,21.87,21.88,23.27,24.67,26.07,27.48,28.88,30.37,31.87,33.38,34.90,36.43,37.96,39.51,41.06,42.63,44.20,45.79,47.39,49.01,50.50,,,,,,,,,,,,,,,,,,,,,,47.80,45.70,40.70,38.10,36.20,33.50,30.00,26.40,24.90,24.10,25.00,27.20,26.50,26.40,25.80,27.50,28.90,29.90,,,,,,,,,,,22.70,25.60,,,,20.40,,,,,,0.655,157/162,,,,,,,,9.92,,,,,,33.78,30.95,30.45,28.74,29.99,31.31,
AGO,Angola,all,,Africa,Middle Africa,Underlying determinants,28.70,28.08,27.47,26.56,25.64,24.72,23.95,23.18,22.40,21.63,20.85,20.07,19.29,18.51,17.72,16.94,16.16,15.39,14.61,14.35,14.09,9.07,9.11,9.14,9.67,10.22,10.78,11.40,12.03,12.66,13.31,13.97,14.63,15.30,15.98,16.67,17.37,18.08,18.80,19.52,19.48,19.45,21.09,20.56,20.01,19.41,18.79,18.16,17.50,16.83,16.16,15.49,14.81,14.13,13.44,12.75,12.06,11.37,10.67,9.98,9.28,9.28,9.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.14,42.25,43.38,44.36,45.35,46.34,47.15,47.96,48.77,49.58,50.38,51.17,51.97,52.76,53.54,54.32,55.08,55.84,56.59,56.88,57.17,42.87,41.41,39.95,38.49,37.01,35.53,34.25,32.96,31.67,30.37,29.07,27.77,26.46,25.15,23.84,22.53,21.23,19.92,18.68,18.32,17.97,18.28,17.74,17.21,16.68,16.15,15.62,15.14,14.66,14.19,13.71,13.24,12.77,12.30,11.84,11.38,10.92,10.46,10.00,9.49,9.43,9.37,11.29,11.85,12.41,12.98,13.55,14.12,14.62,15.12,15.62,16.12,16.63,17.13,17.64,18.15,18.66,19.18,19.69,20.20,20.71,20.86,21.00,,,,,,,,,,,,,,,,,,,,,,27.56,28.99,30.42,31.86,33.29,34.72,35.99,37.26,38.53,39.79,41.06,42.33,43.59,44.85,46.12,47.37,48.63,49.88,51.12,51.39,51.66,,,,,,,,,,,,,,,,,,,,,,67.50,63.20,58.70,55.10,52.20,49.40,46.20,43.00,40.30,37.90,37.00,35.40,29.20,23.10,19.00,19.50,19.40,18.60,,,,,,,,,,,,,,,,,38.40,,,,,0.536,132/162,,,,,,,,,12.32,13.06,14.64,,,,,,,,,
ALB,Albania,all,,Europe,Southern Europe,Underlying determinants,0.92,0.85,0.77,0.69,0.62,0.54,0.47,0.41,0.34,0.28,0.22,0.16,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.54,2.57,2.59,2.61,2.63,2.66,2.68,2.71,2.74,2.78,2.81,2.85,2.89,2.93,2.98,2.98,2.98,2.99,3.01,3.03,3.05,9.78,9.68,9.19,8.71,8.24,7.78,7.32,6.88,6.44,6.01,5.59,5.18,4.78,4.38,4.00,3.63,3.26,2.90,2.56,2.22,1.88,37.62,37.82,38.47,39.10,37.79,36.44,35.05,33.62,32.15,30.63,29.08,27.48,25.85,24.17,22.46,22.80,23.14,23.47,23.78,24.09,24.39,49.14,49.08,48.98,48.89,50.72,52.58,54.47,56.38,58.33,60.30,62.30,64.33,66.38,68.46,70.56,70.59,70.62,70.64,70.65,70.67,70.67,,,,,,,,,,,,,,,,,,,,,,0.89,0.84,0.78,0.73,0.68,0.62,0.57,0.52,0.47,0.42,0.38,0.33,0.28,0.24,0.14,0.11,0.08,0.05,0.00,0.00,0.00,7.80,7.29,6.76,6.24,5.74,5.25,4.78,4.32,3.87,3.44,3.03,2.63,2.24,1.87,1.57,1.22,0.88,0.56,0.27,0.15,0.13,1.83,1.84,1.85,1.86,1.87,1.80,1.73,1.66,1.58,1.50,1.43,1.35,1.26,1.18,1.10,1.01,0.93,0.84,0.75,0.66,0.57,49.25,49.51,49.80,50.08,50.35,50.45,50.53,50.61,50.70,50.79,50.88,50.96,51.06,51.14,51.23,51.32,51.41,51.50,51.58,51.61,51.61,,,,,,,,,,,,,,,,,,,,,,40.24,40.52,40.81,41.09,41.36,41.88,42.39,42.89,43.38,43.84,44.30,44.73,45.15,45.56,45.95,46.33,46.70,47.05,47.39,47.58,47.69,5.00,6.10,7.50,8.70,8.90,8.80,8.30,7.30,6.00,5.00,4.10,3.50,3.90,4.50,4.90,4.50,3.90,3.60,,,,,,3.50,,,,2.50,,,,,,,,,2.60,,,0.181,42/162,45.83,48.41,,,,,,,,,,,,82.27,84.22,84.3,85.18,87.27,85.32,85.15
AND,Andorra,all,,Europe,Southern Europe,Underlying determinants,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,9.36,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,90.64,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.40,78.21,71.03,63.84,56.66,49.47,42.29,35.10,27.92,20.73,13.55,6.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,14.60,21.79,28.97,36.16,43.34,50.53,57.71,64.90,72.08,79.27,86.45,93.63,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,18/162,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,all,,Asia,Western Asia,Underlying determinants,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,99.97,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1.88,1.88,1.88,1.88,1.88,1.74,1.60,1.46,1.32,1.19,1.05,0.91,0.77,0.63,0.50,0.36,0.22,0.08,0.00,,,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.77,,,22.80,22.80,22.80,22.80,22.80,21.39,19.97,18.09,16.20,14.32,12.43,10.54,8.66,6.77,4.88,3.00,1.11,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,74.57,74.57,74.57,74.57,74.57,76.12,77.67,79.69,81.71,83.74,85.76,87.78,89.81,91.83,93.85,95.88,97.90,99.15,99.23,3.40,4.40,5.90,7.70,8.90,9.30,9.00,8.20,7.50,6.40,5.50,4.50,3.60,3.00,2.80,2.80,3.00,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.92,81.04,,
ARG,Argentina,all,,Latin America and the Caribbean,South America,Underlying determinants,1.15,1.08,1.02,0.96,0.90,0.85,0.79,0.74,0.68,0.63,0.59,0.54,0.49,0.49,0.48,0.37,0.36,,,,,2.56,2.39,2.22,2.05,1.89,1.73,1.58,1.42,1.28,1.13,0.99,0.85,0.71,0.66,0.61,0.66,0.61,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.29,96.53,96.76,96.99,97.21,97.42,97.63,97.84,98.04,98.24,98.43,98.61,98.79,98.85,98.91,98.97,99.02,,,,,,,,,,,1.98,1.93,1.88,1.82,1.77,1.72,1.68,1.63,1.58,,,,,,,8.82,8.41,7.99,7.58,7.17,6.76,4.38,4.02,3.67,3.31,2.96,2.62,2.27,1.98,1.70,2.94,2.60,,,,,3.96,3.84,3.73,3.61,3.49,3.38,3.25,3.13,3.01,2.89,2.76,2.63,2.50,2.38,2.25,2.12,1.98,,,,,39.38,39.70,40.02,40.33,40.65,40.97,41.28,41.59,41.91,42.22,42.53,42.84,43.15,43.40,43.65,43.90,44.15,,,,,,,,,,,,,,,,,,,,,,,,,,47.84,48.05,48.26,48.47,48.69,48.90,49.11,49.33,49.54,49.76,49.97,50.19,50.40,50.62,50.83,51.05,51.26,,,,,3.10,3.90,4.50,4.10,3.80,3.40,3.30,3.40,3.40,3.40,3.30,3.20,2.80,<2.5,2.60,2.90,3.40,3.80,,,,,,,,,,,,,11.60,,,,,,,,,0.328,75/162,80.12,83.33,84.51,84.28,83.79,83.42,85.72,86.4,89.7,87.65,88.87,90.99,92.47,92.37,92.09,93.58,95.12,94.07,,
ARM,Armenia,all,,Asia,Western Asia,Underlying determinants,0.20,0.21,0.22,0.22,0.23,0.24,0.26,0.27,0.28,0.29,0.30,0.31,0.32,0.33,0.34,0.35,0.36,0.00,0.00,0.00,0.00,2.48,2.32,2.15,1.99,1.83,1.66,1.49,1.31,1.14,0.97,0.80,0.62,0.45,0.27,0.12,0.10,0.08,0.06,0.05,0.03,0.03,2.11,1.98,1.84,1.71,1.57,1.43,1.29,1.14,1.00,0.85,0.70,0.56,0.41,0.25,0.10,0.00,0.00,0.00,0.00,0.00,0.00,15.34,15.49,15.65,15.82,15.98,16.15,16.32,16.49,16.67,16.84,17.02,16.72,16.42,16.11,15.80,15.42,14.94,14.51,14.03,13.55,13.06,79.88,80.00,80.13,80.26,80.39,80.52,80.65,80.78,80.91,81.05,81.18,81.80,82.41,83.03,83.64,84.13,84.62,85.42,85.92,86.42,86.91,,,,,,,,,,,,,,,,,,,,,,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8.33,8.22,8.09,7.96,7.83,7.69,7.56,7.43,7.30,7.16,7.03,6.90,6.77,6.63,6.49,6.35,6.19,6.04,5.88,5.71,5.63,4.63,4.37,4.12,3.86,3.60,3.35,3.09,2.83,2.57,2.31,2.05,1.79,1.52,1.26,1.00,0.73,0.55,0.49,0.43,0.43,0.43,40.70,40.97,41.28,41.60,41.92,42.24,41.20,40.17,39.12,38.06,36.98,35.87,34.76,33.62,32.48,31.31,30.11,28.85,27.58,26.09,24.61,,,,,,,,,,,,,,,,,,,,,,46.26,46.35,46.43,46.51,46.58,46.66,48.10,49.52,50.97,52.43,53.91,55.41,56.93,58.46,60.02,61.60,63.14,64.61,66.11,67.76,69.33,26.20,24.50,21.10,16.00,12.30,9.40,7.00,5.70,4.70,4.40,4.10,3.60,3.30,2.90,2.70,2.80,2.70,2.60,8.00,,,,,3.40,,,,,1.50,,,,,0.70,1.00,,,,,0.245,54/162,,,,,,,,93.94,82.33,89.48,88.33,86.74,,,,,,,,96.32
ATG,Antigua and Barbuda,all,,Latin America and the Caribbean,Caribbean,Underlying determinants,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,1.65,1.77,1.88,2.00,2.12,2.23,2.35,2.47,2.58,2.70,2.82,2.93,3.05,3.17,3.17,3.17,3.17,3.17,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.25,98.14,98.02,97.90,97.79,97.67,97.55,97.44,97.32,97.21,97.09,96.97,96.86,96.74,96.74,96.74,96.74,96.74,,,,1.35,1.26,1.18,1.10,1.01,0.93,0.85,0.76,0.68,0.60,0.51,0.43,0.35,0.26,0.26,0.26,0.26,0.26,,,,12.31,11.99,11.66,11.33,11.00,10.68,10.35,10.02,9.69,9.37,9.04,8.71,8.38,8.06,8.06,8.06,8.06,8.06,,,,3.93,3.95,3.97,3.99,4.01,4.03,4.04,4.06,4.08,4.10,4.12,4.14,4.16,4.17,4.17,4.17,4.17,4.17,,,,,,,,,,,,,,,,,,,,,,,,,82.41,82.80,83.19,83.59,83.98,84.37,84.76,85.15,85.54,85.94,86.33,86.72,87.11,87.50,87.50,87.50,87.50,87.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,,,,,85.45,76.56,,90.6,88.18,
AUS,Australia,all,,Oceania,Australia and New Zealand,Underlying determinants,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,0.24,0.22,0.20,0.18,0.15,0.13,0.16,0.14,0.12,0.11,0.10,0.09,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.71,99.71,99.71,99.73,99.76,99.78,99.80,99.82,99.84,99.86,99.88,99.89,99.90,99.91,99.96,99.97,99.97,99.97,99.97,99.97,99.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.20,41.20,41.20,41.20,41.20,40.24,39.27,38.30,37.33,36.37,35.40,34.43,33.47,32.50,31.53,30.57,29.60,28.63,27.67,26.70,25.73,,,,,,,,,,,,,,,,,,,,,,58.79,58.79,58.79,58.79,58.79,59.76,60.72,61.69,62.66,63.62,64.59,65.56,66.52,67.49,68.46,69.42,70.39,71.36,72.33,73.29,74.26,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,,,,,,,,,,,,,,,,,,,,,,0.097,25/162,,,,,,,,,,,,,,,,99.04,99.56,99.2,93.99,
AUT,Austria,all,,Europe,Western Europe,Underlying determinants,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.55,3.34,3.13,2.93,2.72,2.51,2.31,2.10,1.90,1.69,1.48,1.28,1.09,1.09,1.09,1.09,1.09,1.09,1.10,1.10,1.10,96.45,96.66,96.87,97.07,97.28,97.49,97.69,97.90,98.10,98.31,98.52,98.72,98.91,98.91,98.91,98.91,98.91,98.91,98.90,98.90,98.90,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.32,0.33,0.33,0.33,0.33,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,,,,,,,,,,,,,,,,,,,,,,99.68,99.68,99.68,99.67,99.67,99.67,99.66,99.66,99.65,99.65,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,99.64,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,<2.5,,,,,,,,,,,,,,,,,,,,,,0.069,14/162,91.77,,90.71,91.05,87.47,94.29,96.98,93,92.28,91.47,89.94,90.62,90.69,91.57,92.2,92.37,92.2,91.5,90.89,
