iso3,country,region,subregion,disaggregation,disagg.value,section,Fruit,Vegetables,Legumes,Nuts,Whole grains,Fish,Dairy,Red meat
AFG,Afghanistan,Asia,Southern Asia,location,National,Dietary needs,65.7,98.1,103.8,31.2,41.5,3.2,91.1,10.7
AGO,Angola,Africa,Middle Africa,location,National,Dietary needs,119.7,308.8,37.8,11.6,57.6,38,65.8,16.8
ALB,Albania,Europe,Southern Europe,location,National,Dietary needs,138.9,129.1,40.2,12.3,31.2,18.3,404.9,61.6
AND,Andorra,Europe,Southern Europe,location,National,Dietary needs,,,,,,,,
ARE,United Arab Emirates,Asia,Western Asia,location,National,Dietary needs,107.6,123.3,40.6,31.7,37.2,40.5,428.4,29.6
ARG,Argentina,Latin America and the Caribbean,South America,location,National,Dietary needs,94,123.8,3.6,1.6,10.8,11.6,519.1,86.7
ARM,Armenia,Asia,Western Asia,location,National,Dietary needs,91.2,95.9,14.7,18.9,23.3,47.9,403.7,62.4
ATG,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,95.5,232.1,43.5,2.5,14.3,46.5,223.8,36.3
AUS,Australia,Oceania,Australia and New Zealand,location,National,Dietary needs,131.9,116.8,23.2,7.4,64.9,28.6,666.3,61.6
AUT,Austria,Europe,Western Europe,location,National,Dietary needs,105.7,118.4,6.4,5.4,29.2,21.1,558.7,106.2
AZE,Azerbaijan,Asia,Western Asia,location,National,Dietary needs,104.8,77.7,14.6,32.7,46.9,22.3,454.1,99.3
BDI,Burundi,Africa,Eastern Africa,location,National,Dietary needs,73.8,186.8,40.5,6.5,33.1,32.8,29.8,11.8
BEL,Belgium,Europe,Western Europe,location,National,Dietary needs,103.9,113.2,4.5,3.4,66.1,19.7,767.5,57.4
BEN,Benin,Africa,Western Africa,location,National,Dietary needs,74.8,99.1,24.7,13,33.6,22.2,54.3,16.5
BFA,Burkina Faso,Africa,Western Africa,location,National,Dietary needs,34.8,27,9.1,21.8,59.4,28.8,36.8,2.7
BGD,Bangladesh,Asia,Southern Asia,location,National,Dietary needs,54.7,225,28.9,0.7,35.3,41.6,45.3,8.1
BGR,Bulgaria,Europe,Eastern Europe,location,National,Dietary needs,95.9,399.2,18.1,11.5,25.8,22.7,1337.9,73.3
BHR,Bahrain,Asia,Western Asia,location,National,Dietary needs,119.8,185.2,38.7,21.5,16,35.6,411.9,42.3
BHS,Bahamas,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,83.7,105.6,17.9,9.9,36.7,21.2,304.6,53.5
BIH,Bosnia and Herzegovina,Europe,Southern Europe,location,National,Dietary needs,499.9,443.6,14,8.8,45.7,10.4,710.5,150.5
BLR,Belarus,Europe,Eastern Europe,location,National,Dietary needs,246.3,87,75.8,10.9,35.7,21.5,463.9,61.9
BLZ,Belize,Latin America and the Caribbean,Central America,location,National,Dietary needs,85.6,148.3,27.6,2.2,27.6,26.3,246.9,98.7
BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,location,National,Dietary needs,86.6,112.1,11.3,11.6,29.4,13.9,212.6,99.5
BRA,Brazil,Latin America and the Caribbean,South America,location,National,Dietary needs,85,93.4,82.1,0.2,6.1,28.9,283.2,75.2
BRB,Barbados,Latin America and the Caribbean,Caribbean,location,National,Dietary needs,129.5,143.2,6.9,8.7,89.9,45.8,173.5,64.8
BRN,Brunei Darussalam,Asia,South-eastern Asia,location,National,Dietary needs,82.9,163,34.3,4.2,0.1,75.4,79.8,90.8
BTN,Bhutan,Asia,Southern Asia,location,National,Dietary needs,97.8,297.6,70.7,6.6,45.4,24.5,126.5,17.9
BWA,Botswana,Africa,Southern Africa,location,National,Dietary needs,50.9,112,19,39.7,71.2,24.2,125.2,25
