iso3,country,disaggregation,disagg.value,region,subregion,section,diarrhea_zinc_2005,diarrhea_zinc_2006,diarrhea_zinc_2007,diarrhea_zinc_2008,diarrhea_zinc_2009,diarrhea_zinc_2010,diarrhea_zinc_2011,diarrhea_zinc_2012,diarrhea_zinc_2013,diarrhea_zinc_2014,diarrhea_zinc_2015,diarrhea_zinc_2016,diarrhea_zinc_2017,diarrhea_zinc_2018,diarrhea_zinc_2019,diarrhea_zinc_2020,vit_a_2000,vit_a_2001,vit_a_2002,vit_a_2003,vit_a_2004,vit_a_2005,vit_a_2006,vit_a_2007,vit_a_2008,vit_a_2009,vit_a_2010,vit_a_2011,vit_a_2012,vit_a_2013,vit_a_2014,vit_a_2015,vit_a_2016,vit_a_2017,vit_a_2018,iron_supp_2004,iron_supp_2005,iron_supp_2006,iron_supp_2007,iron_supp_2008,iron_supp_2009,iron_supp_2010,iron_supp_2011,iron_supp_2012,iron_supp_2013,iron_supp_2014,iron_supp_2015,iron_supp_2016,iron_supp_2017,iron_supp_2018,iron_supp_2019,iron_tablets_2000,iron_tablets_2001,iron_tablets_2002,iron_tablets_2003,iron_tablets_2004,iron_tablets_2005,iron_tablets_2006,iron_tablets_2007,iron_tablets_2008,iron_tablets_2009,iron_tablets_2010,iron_tablets_2011,iron_tablets_2012,iron_tablets_2013,iron_tablets_2014,iron_tablets_2015,iron_tablets_2016,iron_tablets_2017,iron_tablets_2018,iron_tablets_2019,iodised_salt_2000,iodised_salt_2001,iodised_salt_2002,iodised_salt_2003,iodised_salt_2004,iodised_salt_2005,iodised_salt_2006,iodised_salt_2007,iodised_salt_2008,iodised_salt_2009,iodised_salt_2010,iodised_salt_2011,iodised_salt_2012,iodised_salt_2013,iodised_salt_2014,iodised_salt_2015,iodised_salt_2016,iodised_salt_2017,iodised_salt_2018
AFG,Afghanistan,education,Higher,Asia,Southern Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,None,Asia,Southern Asia,Intervention coverage,,,,,,,5.5,,,,9.4,,,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,Primary,Asia,Southern Asia,Intervention coverage,,,,,,,2.9,,,,10.5,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,55.8,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,Secondary,Asia,Southern Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,,,,63.8,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,education,Secondary or higher,Asia,Southern Asia,Intervention coverage,,,,,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,location,Rural,Asia,Southern Asia,Intervention coverage,,,,,,,4.2,,,,6.5,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,40.1,,,,,,,,,,,,,,,,49.38,,,,47.91,,,
AFG,Afghanistan,location,Urban,Asia,Southern Asia,Intervention coverage,,,,,,,5.4,,,,10.7,,,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,50.1,,,,,,,,,,,,,,,,78.5,,,,81.73,,,
AFG,Afghanistan,mothers_age,20-34,Asia,Southern Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,mothers_age,35-49,Asia,Southern Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,mothers_age,Under 20,Asia,Southern Asia,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,sex,Female,Asia,Southern Asia,Intervention coverage,,,,,,,5.1,,,,9.2,,,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.16,,,,61.9,,,
AFG,Afghanistan,sex,Male,Asia,Southern Asia,Intervention coverage,,,,,,,5.4,,,,10,,,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.68,,,,56.51,,,
AFG,Afghanistan,total,Total,Asia,Southern Asia,Intervention coverage,,,,,,,5.3,,,,9.6,,,36.6,,,58,76,94,71,95,91,84,92,96,95,96,99,-,97,95,98,90,95,93,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,42.4,,,,,,,,,,,,,,,,54.78,,,,56.61,,,
AFG,Afghanistan,wealth,Highest,Asia,Southern Asia,Intervention coverage,,,,,,,3.6,,,,6.9,,,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,55.4,,,,,,,,,,,,,,,,78.42,,,,86.83,,,
AFG,Afghanistan,wealth,Lowest,Asia,Southern Asia,Intervention coverage,,,,,,,3.7,,,,10.3,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,32.13,,,,25.92,,,
AFG,Afghanistan,wealth,Middle,Asia,Southern Asia,Intervention coverage,,,,,,,7,,,,10.3,,,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,39.8,,,,,,,,,,,,,,,,54.42,,,,55.86,,,
AFG,Afghanistan,wealth,Second highest,Asia,Southern Asia,Intervention coverage,,,,,,,5.3,,,,9.6,,,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,44.7,,,,,,,,,,,,,,,,65.64,,,,72.01,,,
AFG,Afghanistan,wealth,Second lowest,Asia,Southern Asia,Intervention coverage,,,,,,,6,,,,11,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,,35.9,,,,,,,,,,,,,,,,45.75,,,,42.03,,,
AGO,Angola,education,Higher,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,education,None,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,education,Primary,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.3,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,education,Secondary,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,location,Rural,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,,,,52.9,,,,,,,,,,,,,,71.22,,,
AGO,Angola,location,Urban,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.1,,,,,,58.67,,,,,,,,,,,,,,89.11,,,
AGO,Angola,mothers_age,20-34,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,mothers_age,35-49,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,mothers_age,Under 20,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,sex,Female,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.34,,,,,,,,,,,,,,83.33,,,
AGO,Angola,sex,Male,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.29,,,,,,,,,,,,,,81.91,,,
AGO,Angola,total,Total,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,-,-,64,68,7,65,80,36,82,28,28,55,44,48,6,14,-,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6,,,,,,56.68,,,,,,,,,,,,,,82.4,,,
AGO,Angola,wealth,Highest,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7,,,,,,59.39,,,,,,,,,,,,,,96,,,
AGO,Angola,wealth,Lowest,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,52.41,,,,,,,,,,,,,,69.49,,,
AGO,Angola,wealth,Middle,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3,,,,,,57.82,,,,,,,,,,,,,,84.2,,,
AGO,Angola,wealth,Second highest,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4,,,,,,60.3,,,,,,,,,,,,,,93.49,,,
AGO,Angola,wealth,Second lowest,Africa,Middle Africa,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,,,,,,53.55,,,,,,,,,,,,,,72.53,,,
ALB,Albania,education,Higher,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,55.5,,,,,,,,,74.5,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,education,None,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,education,Primary,Europe,Southern Europe,Intervention coverage,,,,,5.7,,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,,,27.7,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,education,Secondary,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,40.9,,,,,,,,,72.1,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,education,Secondary or higher,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,location,Rural,Europe,Southern Europe,Intervention coverage,,,,,5.3,,,,,,,,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,26.9,,,,,,,,,67,,,72.61,,,,,95.97,,,,85.56,,,,,,,,60.21,
ALB,Albania,location,Urban,Europe,Southern Europe,Intervention coverage,,,,,4,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,66.8,,,87.2,,,,,98.57,,,,96.6,,,,,,,,67.31,
ALB,Albania,mothers_age,20-34,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,,,,,,,,68.4,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,mothers_age,35-49,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,,,,,55.5,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,mothers_age,Under 20,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,,,,,,,,63.3,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,sex,Female,Europe,Southern Europe,Intervention coverage,,,,,,,,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.58,,,,,97.66,,,,91.59,,,,,,,,65.64,
ALB,Albania,sex,Male,Europe,Southern Europe,Intervention coverage,,,,,7.4,,,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.04,,,,,97.04,,,,90.82,,,,,,,,64.39,
