region,disaggregation,disagg.value,section,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016,adult_obesity_2019,adult_overweight_2000,adult_overweight_2001,adult_overweight_2002,adult_overweight_2003,adult_overweight_2004,adult_overweight_2005,adult_overweight_2006,adult_overweight_2007,adult_overweight_2008,adult_overweight_2009,adult_overweight_2010,adult_overweight_2011,adult_overweight_2012,adult_overweight_2013,adult_overweight_2014,adult_overweight_2015,adult_overweight_2016,adult_overweight_2019,adult_underweight_2000,adult_underweight_2001,adult_underweight_2002,adult_underweight_2003,adult_underweight_2004,adult_underweight_2005,adult_underweight_2006,adult_underweight_2007,adult_underweight_2008,adult_underweight_2009,adult_underweight_2010,adult_underweight_2011,adult_underweight_2012,adult_underweight_2013,adult_underweight_2014,adult_underweight_2015,adult_underweight_2016,adult_underweight_2019,adult_anaemia_2000,adult_anaemia_2001,adult_anaemia_2002,adult_anaemia_2003,adult_anaemia_2004,adult_anaemia_2005,adult_anaemia_2006,adult_anaemia_2007,adult_anaemia_2008,adult_anaemia_2009,adult_anaemia_2010,adult_anaemia_2011,adult_anaemia_2012,adult_anaemia_2013,adult_anaemia_2014,adult_anaemia_2015,adult_anaemia_2016,adult_anaemia_2017,adult_anaemia_2018,adult_anaemia_2019,adult_blood_pressure_2000,adult_blood_pressure_2001,adult_blood_pressure_2002,adult_blood_pressure_2003,adult_blood_pressure_2004,adult_blood_pressure_2005,adult_blood_pressure_2006,adult_blood_pressure_2007,adult_blood_pressure_2008,adult_blood_pressure_2009,adult_blood_pressure_2010,adult_blood_pressure_2011,adult_blood_pressure_2012,adult_blood_pressure_2013,adult_blood_pressure_2014,adult_blood_pressure_2015,adult_blood_pressure_2019,adult_diabetes_2000,adult_diabetes_2001,adult_diabetes_2002,adult_diabetes_2003,adult_diabetes_2004,adult_diabetes_2005,adult_diabetes_2006,adult_diabetes_2007,adult_diabetes_2008,adult_diabetes_2009,adult_diabetes_2010,adult_diabetes_2011,adult_diabetes_2012,adult_diabetes_2013,adult_diabetes_2014,adult_diabetes_2019,Risk_factor_all-rf_2018,Risk_factor_diet_2018,Risk_factor_fruits_2018,Risk_factor_vegetables_2018,Risk_factor_legumes_2018,Risk_factor_nuts_seeds_2018,Risk_factor_whole_grains_2018,Risk_factor_prc_meat_2018,Risk_factor_red_meat_2018,Risk_factor_SSBs_2018,Risk_factor_weight_2018,Risk_factor_underweight_2018,Risk_factor_overweight_2018,Risk_factor_obese_2018
Africa,all,,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,Cause,all-c,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1047213,770922,249583,151348,120446,82118,173115,36132,76826,76442,449022,66196,93096,289730
Africa,Cause,Cancer,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184030,136062,46275,53183,,,48206,844,2293,,58105,5353,13616,39136
Africa,Cause,CHD,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508946,429884,66629,98164,120446,82118,124908,19751,36401,51581,194640,8702,50586,135352
Africa,Cause,Resp_Dis,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41362,,,,,,,,,,41362,32969,-4132,12524
Africa,Cause,Stroke,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207665,158221,136679,,,,,8199,22520,,72309,19172,11363,41774
Africa,Cause,T2DM,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105211,43661,,,,,,7339,15612,24861,82606,0,21662,60944
Africa,pregnancy,All women,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,45.9,45.5,45.2,44.7,44.3,43.7,43.2,42.6,42,41.5,41,40.7,40.5,40.4,40.3,40.2,40.2,40.3,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,pregnancy,Non-pregnant women,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,45.4,45,44.6,44.1,43.6,43.1,42.5,41.9,41.3,40.8,40.3,40,39.8,39.7,39.7,39.6,39.6,39.7,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,pregnancy,Pregnant women,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,50.3,50.2,50,49.7,49.4,49.1,48.7,48.3,47.9,47.5,47.2,47,46.7,46.6,46.4,46.3,46.1,45.9,45.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,sex,Both,Adult nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,sex,Female,Adult nutrition,11.99,12.35,12.71,13.09,13.47,13.85,14.25,14.65,15.06,15.47,15.88,16.3,16.72,17.14,17.56,17.99,18.42,,33,33.61,34.22,34.84,35.46,36.08,36.71,37.34,37.98,38.6,39.23,39.85,40.47,41.08,41.68,42.29,42.88,,10.72,10.56,10.4,10.24,10.09,9.93,9.77,9.62,9.47,9.32,9.17,9.03,8.89,8.75,8.62,8.5,8.38,,,,,,,,,,,,,,,,,,,,,,28.7,28.65,28.59,28.53,28.46,28.38,28.3,28.21,28.12,28.03,27.93,27.84,27.73,27.63,27.52,27.41,,6.43,6.58,6.73,6.88,7.04,7.19,7.35,7.5,7.66,7.82,7.99,8.15,8.31,8.47,8.64,,,,,,,,,,,,,,,
Africa,sex,Female Projection,Adult nutrition,,,,,,,,,,,,,,,,,,20.72,,,,,,,,,,,,,,,,,,44.76,,,,,,,,,,,,,,,,,,7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.58,,,,,,,,,,,,,,,,9.93,,,,,,,,,,,,,,
Africa,sex,Male,Adult nutrition,4.11,4.30,4.49,4.68,4.89,5.10,5.32,5.55,5.78,6.01,6.26,6.51,6.76,7.02,7.29,7.57,7.85,,20.52,20.95,21.38,21.81,22.25,22.7,23.15,23.61,24.06,24.52,24.98,25.43,25.89,26.34,26.8,27.26,27.71,,13.26,13.08,12.91,12.74,12.57,12.39,12.22,12.05,11.87,11.7,11.54,11.37,11.21,11.05,10.89,10.74,10.59,,,,,,,,,,,,,,,,,,,,,,28.57,28.47,28.37,28.27,28.17,28.06,27.95,27.83,27.71,27.59,27.46,27.33,27.2,27.07,26.94,26.82,,5.93,6.09,6.26,6.42,6.59,6.75,6.92,7.09,7.26,7.43,7.6,7.77,7.94,8.12,8.29,,,,,,,,,,,,,,,
